location,reason,site_id,speed_limit,the_geom
EB 80 Ave btwn 166 - 163 St,Designated Zone - Playground;,4078,30,"MULTILINESTRING ((-113.60791129414075 53.51374658880191, -113.60776635332499 53.513739399931595, -113.60762099403027 53.513736880443, -113.60411741737137 53.51373401208495, -113.60339103230643 53.513731899404654, -113.60264238112902 53.51373772563504))"
EB 105 Ave btwn 139 - 136 St,Designated Zone - Playground;,4082,30,"MULTILINESTRING ((-113.56138243981567 53.5477780025022, -113.56053051773166 53.54777280842643, -113.55968500643613 53.54776764715967, -113.55884721844933 53.54777225369903, -113.55800836050317 53.54777686030054, -113.55716449326539 53.547773499762606, -113.55631796024353 53.547770121583945))"
113A St NB between 134 - 136 Ave,Higher Frequency of Speeding;,2615,50,"MULTILINESTRING ((-113.51653946467151 53.59492573464502, -113.516532036322 53.59497903250688, -113.5165493832375 53.59537369883164, -113.51656426256699 53.59707060775587, -113.5165869678658 53.59833561259838, -113.51659414132006 53.598387259399296))"
66 St NB between 144 - 149 Ave,Higher Frequency of Collisions;,2482,60,"MULTILINESTRING ((-113.44273978217605 53.60491093067245, -113.44273125147093 53.61015455585017))"
SB 96 St N of 68 - 66 Ave,Designated Zone - Playground;,4118,30,"MULTILINESTRING ((-113.4764379428954 53.50488158918929, -113.47644280404027 53.50438739060555, -113.47644331812675 53.5038949018642, -113.47644528931359 53.502897965222026))"
82 Ave WB between 87 - 89 St,Higher Frequency of Speeding;,2502,50,"MULTILINESTRING ((-113.46135671020797 53.51802965229638, -113.46278211311747 53.51802824306034, -113.46309100070044 53.518027909727095, -113.4643895430511 53.51802663315726))"
NB 117 St Btwn 142 - 144 Ave,Designated Zone - Playground;,4254,30,"MULTILINESTRING ((-113.52279779688448 53.60401575483881, -113.52292372989955 53.60430653594695, -113.52314656058074 53.604936959716845, -113.52323642142441 53.60543750121322, -113.5232736386132 53.60572609529087, -113.52327617398953 53.606184657096506, -113.52320643959435 53.606636357778484))"
NB 145 St btwn 88 - 89A Ave,Designated Zone - Playground;,4079,30,"MULTILINESTRING ((-113.57027375729068 53.52035166036112, -113.5702769363755 53.520803237143475, -113.57028168984884 53.522157764081726))"
SB 117 St Btwn 144 - 142 Ave,Designated Zone - Playground;,4255,30,"MULTILINESTRING ((-113.52320643959435 53.606636357778484, -113.52327617398953 53.606184657096506, -113.5232736386132 53.60572609529087, -113.52323642142441 53.60543750121322, -113.52314656058074 53.604936959716845, -113.52292372989955 53.60430653594695, -113.52279779688448 53.60401575483881))"
NB 76 St btwn 38 Ave south of 40 Ave,Designated Zone - Playground;,4115,30,"MULTILINESTRING ((-113.44955637868586 53.47376229667625, -113.44986184289937 53.474217157096184, -113.4509879677021 53.47587492876155, -113.4510919055322 53.47604177902762))"
NB 175 St btwn 82 - 85 Ave,Designated Zone - Playground;,4212,30,"MULTILINESTRING ((-113.62318526352375 53.51542578565343, -113.62409980679737 53.51841735698799))"
EB 104 Ave btwn 161 - 159 St,Designated Zone - Playground;,4076,30,"MULTILINESTRING ((-113.59923199849672 53.546409948907694, -113.5983296118604 53.54641122059252, -113.59743658569136 53.54641247294431, -113.59655296466337 53.546404724846425, -113.59566982524639 53.54639697454361))"
EB 76 Ave btwn 106 - 105 St,Designated Zone - Playground;,4114,30,"MULTILINESTRING ((-113.50443277215942 53.512271277968075, -113.5025948550577 53.512270880181205, -113.50160128997227 53.51228871686116, -113.50133784071872 53.51230457230169, -113.50046932063422 53.512324163842344))"
NB 72 St Btwn 144 - 149 A Ave,Designated Zone - Playground;,4220,30,"MULTILINESTRING ((-113.45101177234885 53.60593250029876, -113.44959936648301 53.60826899396295, -113.4494162869445 53.60854306030636, -113.44926615895119 53.60880604738149, -113.44915572907676 53.609097260281324, -113.44909789708865 53.60934219681945, -113.44906447817723 53.60961974242968, -113.44907030832437 53.61015462268743, -113.44907102889546 53.61135948916449))"
144 Ave EB between 94 - 92 St,Higher Frequency of Speeding;,2577,50,"MULTILINESTRING ((-113.48510544564265 53.60622956678838, -113.48247313967063 53.60584235670764))"
EB 149 A Ave Btwn 78 - W of 75A St,Designated Zone - Playground;,4160,30,"MULTILINESTRING ((-113.4624252507675 53.61054492912476, -113.46096893548119 53.6107577235999, -113.4597340773178 53.61098495759149, -113.45829127379085 53.61118395118067))"
SB 106 St btwn 42 - 40 Ave,Designated Zone - Playground;,4054,30,"MULTILINESTRING ((-113.5043428131639 53.47879978488189, -113.50431068682681 53.47705960991973, -113.50432128251263 53.47690034545769, -113.50435521966958 53.47675387876239, -113.5044053029263 53.47662431268794, -113.50446694262129 53.47650853696366, -113.50454857540309 53.47638909598769, -113.50465210960273 53.47626792425066, -113.50475850382094 53.47616510582059, -113.50488708621677 53.476060493036385, -113.50618113997022 53.4750938961612))"
EB 144 Ave E of 92 St - 88A St,Designated Zone - Playground;,4092,30,"MULTILINESTRING ((-113.48060403267911 53.60569826101798, -113.48058719856951 53.605698002846616, -113.48039456382783 53.60569752786281, -113.47812345687258 53.6057072736759, -113.4777852382729 53.60571326112763, -113.47745296546996 53.60572801509335, -113.4771406543223 53.605749979391604, -113.47686517848936 53.60577595796068, -113.47670918379242 53.60579345808976))"
WB 12 Ave btwn 113 St - Twin Brooks Dr,Designated Zone – Playground;,4317,30,"MULTILINESTRING ((-113.52471559113005 53.443000492718575, -113.52489559999987 53.44301760126476, -113.52513688270393 53.44305500390776, -113.52537319829315 53.4431090790015, -113.52560860470676 53.44318253673612, -113.52581348230856 53.44326531817585, -113.52600084840437 53.44335935053526, -113.526184476201 53.443475063930684, -113.52628725610745 53.4435504348755, -113.5263404202783 53.4435961452401, -113.52677506990364 53.44393484561506, -113.52698450844527 53.44408492418093, -113.52721710908706 53.444222307647344))"
EB 101 Ave between 70 - 67 St,Higher Frequency of Speeding;,2704,50,"MULTILINESTRING ((-113.43536253978029 53.54119528449365, -113.43405514107111 53.54119292818892, -113.4332644653025 53.54119149686154, -113.43262834376405 53.541190340751825, -113.4322915907395 53.541191123043504))"
WB 76 Ave Btwn 154 - 156 St,Designated Zone - Playground;,4215,30,"MULTILINESTRING ((-113.5854218009693 53.508176228767375, -113.58722576829672 53.50789253487075, -113.58907597149177 53.50788641101258, -113.59036347096958 53.507893586440446))"
SB 184 St btwn 57 Ave - N of 52 Ave,Designated Zone - Playground;,4124,30,"MULTILINESTRING ((-113.64027256435041 53.49171364516537, -113.64030567551633 53.49156081230852, -113.64043717512678 53.49125315214171, -113.64055333413032 53.49098642652143, -113.64071379471149 53.490712856290195, -113.6409023678256 53.49044574139803, -113.64111075621419 53.49017979457503, -113.64135446928937 53.48992475190393, -113.6416259898793 53.48968002541045, -113.64192206138289 53.489445645587914, -113.6428703080528 53.48874086499551, -113.642911020466 53.48870881300474))"
NB Ottewell Rd btwn 94 - 94B Ave,Designated Zone - Playground;,4105,30,"MULTILINESTRING ((-113.43456284964958 53.53074620419053, -113.43558690905162 53.53228648036266, -113.43586288717715 53.532701555351885))"
WB Blackmud Crk Dr SW btn Baker Close-James Mowatt Tr,Designated Zone - Playground;,4063,30,"MULTILINESTRING ((-113.51263766298497 53.42053296727897, -113.51328315159004 53.42071550562822, -113.51390053491905 53.420847882908674, -113.51440862994453 53.4209283685847, -113.51477820395337 53.4209717390096, -113.51521718698987 53.421007287185624, -113.51567272132755 53.42102628989711, -113.5162669227304 53.42102904479773))"
Gateway Blvd NB - South of Anthony Henday Dr.,Higher Frequency of Speeding; Higher Frequency of Collisions;,7085,90,"MULTILINESTRING ((-113.49119319660319 53.431543513013736, -113.49111970384962 53.43174181610964, -113.4905435081774 53.43329708015892, -113.49018020890738 53.4342844006519, -113.49005692710888 53.43470613579017, -113.48997695361592 53.43508636163113, -113.48991098285684 53.43571916500935, -113.48992457683927 53.43631377713242, -113.4899919197584 53.436819904478774, -113.49000123228072 53.43685645505962, -113.49014724949872 53.43742953441748, -113.49024208201864 53.43769478858262, -113.49034436453627 53.43795090764923, -113.49046235572105 53.438199818414624, -113.4905016445547 53.43827383344465))"
WB Millwoods Rd S btwn W of 54 St - E of 62 St,Designated Zone - Playground;,4284,30,"MULTILINESTRING ((-113.42569521457185 53.44548375445958, -113.42624344354336 53.44547511366178, -113.4271197111659 53.44547611881341, -113.42799557963086 53.44549193564618, -113.42887034859544 53.44552255183252, -113.42953993114375 53.445557366155974))"
SB 59A St Btwn 162-159 Ave,Designated Zone - Playground;,4265,30,"MULTILINESTRING ((-113.43071440671726 53.623301656919075, -113.4307130140452 53.62060476313969, -113.43073505879158 53.61942589132229, -113.43076764571771 53.61927264936438))"
NB Millbourne Rd E btwn 36A Ave - Lee Ridge Rd,Designated Zone - Playground;,4291,30,"MULTILINESTRING ((-113.44335414119053 53.47007938627939, -113.4433870406295 53.470307693206315, -113.44342189757984 53.4704669857713, -113.44347877788233 53.47062400405252, -113.44355728927995 53.47077766605738, -113.44365689158738 53.47092691335656, -113.44377689810767 53.471070717382226, -113.44391648155576 53.471208086646364, -113.44407468298355 53.4713380748719, -113.44425041018756 53.4714597872779, -113.44548003760431 53.47224487897706))"
Yellowhead Trail at 50 St,Higher Frequency of Speeding;,247,80,"MULTILINESTRING ((-113.41203748329139 53.58215613332994, -113.41257841381778 53.58222380130754, -113.41358852636401 53.58230657507102, -113.41425738707072 53.58235491440095, -113.41514597602519 53.58240173001975, -113.41610402323889 53.58243958292118, -113.41710457228484 53.58245595562531, -113.41807182765842 53.58248369693694, -113.4185537941628 53.58249155754177, -113.41930668497272 53.58249624023577, -113.42076027436896 53.582478134569755, -113.42160745069177 53.58243963944532, -113.4224748456495 53.58239113297934, -113.42303641491918 53.582351717849384, -113.42363941877099 53.58230232755949, -113.42444424129508 53.582224902096144, -113.42517559435207 53.582143001789255, -113.42559731324826 53.5820907185725))"
SB 91 St S of 88 - 86 Ave,Designated Zone - Playground;,4189,30,"MULTILINESTRING ((-113.46744246667998 53.52317367611345, -113.46744296352644 53.52300373588131, -113.46744266049132 53.522947223936384, -113.46743724794327 53.5219419263299))"
EB 112 Ave btwn 55 - 53 St,Higher Frequency of Speeding;,2701,50,"MULTILINESTRING ((-113.4261288248009 53.56726085361699, -113.42308180699851 53.567259060127775))"
SB 54 St Btwn 122-121 Ave,Designated Zone - Playground;,4237,30,"MULTILINESTRING ((-113.42456965708688 53.57671008739906, -113.42457681819732 53.57508098729971))"
NB Lakewood Rd E btwn 29 Ave - 71 St,Designated Zone - Playground;,4277,30,"MULTILINESTRING ((-113.44121465055669 53.45996507988863, -113.44078913152735 53.460689888827694, -113.44070076771918 53.460877206881065, -113.44065106959795 53.46106953323681, -113.44064077054685 53.46126403624201, -113.44067002167961 53.46145785182587, -113.44075491518142 53.46168206830097, -113.44089266126768 53.46189673531324, -113.44108041990474 53.46209744516459, -113.44131433523624 53.462280072918006, -113.44158930738587 53.462440720538744, -113.44189991107729 53.462576281951506, -113.44223946319288 53.46268389684362, -113.44259760823049 53.46276733038868))"
SB 143 St btwn 56 - 53 Ave,Designated Zone - Playground;,4036,30,"MULTILINESTRING ((-113.56662962669562 53.49346910407843, -113.56668143814203 53.49335895657918, -113.56674277449899 53.493250562613795, -113.56702605284741 53.49278243674044, -113.56708066263849 53.492684818574595, -113.56712844394117 53.49258593557755, -113.56716923999775 53.49248594444577, -113.56720297822362 53.492385022847465, -113.56722960120491 53.49228333861997, -113.56724906187587 53.49218107940619, -113.5672613254093 53.49207841492, -113.56726510179759 53.491975513924274, -113.56725960206226 53.491370086833754, -113.56724661473467 53.490496199080965))"
EB 162 Ave 375 M W of 115 - 115 St,Designated Zone - Playground;,4233,30,"MULTILINESTRING ((-113.52900914650716 53.62277661163862, -113.52784449541895 53.622740328327254, -113.52758439381402 53.62273222389224, -113.5267537026876 53.62275709079859, -113.52600955814377 53.62283743294303, -113.52340680771135 53.6231436851236))"
Yellowhead Tr EB @ AHD,Higher Frequency of Speeding; Higher Frequency of Collisions;,7005,100,"MULTILINESTRING ((-113.66946450628747 53.573351675893726, -113.6694582334211 53.57335244842395, -113.66791644820462 53.573501613982366, -113.66727810848786 53.57354908406679, -113.66624602964076 53.573608349541985, -113.66499706607196 53.57364546336953, -113.66403102033432 53.573645681981375, -113.66372715577147 53.573637290887405, -113.65878521084129 53.57354776337923, -113.65507462349086 53.57344360108792, -113.65090068155534 53.573372664419544))"
SB 65 St btwn 106 - 104 Ave,Designated Zone - Playground;,4110,30,"MULTILINESTRING ((-113.43124098870376 53.54929641883315, -113.43124051596013 53.549173226198064, -113.43124193894982 53.5487603185674, -113.43124391658746 53.547643183603356, -113.43123704584775 53.54752678809624, -113.43121605215427 53.547410994881766, -113.43118104519289 53.54729640923398, -113.43113220863118 53.54718363228103, -113.43106979717044 53.54707325559986, -113.4309941380999 53.54696585762965, -113.43090563130633 53.546862002773736, -113.43080473729873 53.54676223415454))"
EB 144 Ave btwn 88A -E of 87 St,Designated Zone - Playground;,4153,30,"MULTILINESTRING ((-113.47670918379242 53.60579345808976, -113.47661276072677 53.605805295934715, -113.47647564484576 53.60582348936484, -113.47624352654272 53.605857978928206, -113.47600164874503 53.60589895987595, -113.47371111430425 53.60631183427179, -113.47298815266693 53.60644214054099))"
NB 91 St N of 172 - 175 Ave,Designated Zone - Playground;,4218,30,"MULTILINESTRING ((-113.47975047161897 53.633999602218914, -113.47972430069382 53.63409226322062, -113.47968452759959 53.63448163281953, -113.47968200225628 53.634955113969255, -113.47967972477517 53.636085237497745, -113.4796780482493 53.636786700225585))"
NB Gateway Blvd at Ellerslie Road SW,Higher Frequency of Speeding; Higher Frequency of Collisions;,7216,90,"MULTILINESTRING ((-113.49319881054045 53.41823212852842, -113.49310753232069 53.41864891920685, -113.49302536533025 53.419132337097636, -113.4929679693242 53.41958853033255, -113.49292481198017 53.42013447160158, -113.49290956705073 53.42049434181423, -113.49289993737243 53.42083171553811, -113.49286589647055 53.422123603482426, -113.49277847054131 53.4247560725159, -113.49277382853353 53.424878738565035, -113.49271100539872 53.42651783572324, -113.49265600743877 53.4275519958415))"
WB 110 Ave Btwn 159-161 St,Designated Zone - Playground;,4235,30,"MULTILINESTRING ((-113.59443334033652 53.55602261370087, -113.59515414445741 53.55603198100704, -113.59586624848284 53.55604123190364, -113.59657995765781 53.55604247928482, -113.59730928135497 53.556043749815714, -113.59800722496438 53.55604165213477, -113.59878117831019 53.55603932102269))"
SB 106 St btwn 42 - 40 Ave,Designated Zone - Playground;,4119,30,"MULTILINESTRING ((-113.5043428131639 53.47879978488189, -113.50431068682681 53.47705960991973, -113.50432128251263 53.47690034545769, -113.50435521966958 53.47675387876239, -113.5044053029263 53.47662431268794, -113.50446694262129 53.47650853696366, -113.50454857540309 53.47638909598769, -113.50465210960273 53.47626792425066, -113.50475850382094 53.47616510582059, -113.50488708621677 53.476060493036385, -113.50618113997022 53.4750938961612))"
WB 105 Ave btwn 136 - 139 St,Designated Zone - Playground;,4081,30,"MULTILINESTRING ((-113.55631796024353 53.547770121583945, -113.55716449326539 53.547773499762606, -113.55800836050317 53.54777686030054, -113.55884721844933 53.54777225369903, -113.55968500643613 53.54776764715967, -113.56053051773166 53.54777280842643, -113.56138243981567 53.5477780025022))"
NB 97 St between 108 - 110 Ave,Higher Frequency of Speeding; Higher Frequency of Collisions;,2716,50,"MULTILINESTRING ((-113.49018380592013 53.553711409060504, -113.4905551092575 53.55458814007697, -113.49062992537786 53.55477938507519, -113.4909141849207 53.55546320655136, -113.49125676603035 53.55628576746504, -113.49164604146627 53.557213945784596))"
