location,reason,site_id,speed_limit,the_geom
WB Kirkness Rd Btwn 151 Ave - 31 St,Designated Zone - Playground;,4227,30,"MULTILINESTRING ((-113.38280227296067 53.61383096142477, -113.38308484778503 53.61341864192011, -113.38333332163782 53.613074619032545, -113.38382539976683 53.6123754058177, -113.38438824171634 53.61169374288757, -113.38443933125146 53.61163925960767, -113.38453990501164 53.61154006953784, -113.38461297087619 53.61147794251302, -113.38471578615416 53.61140246159239, -113.38484540504471 53.61132176541795, -113.38501045956822 53.61122840936028, -113.38517229857948 53.611168492182856, -113.3852973641981 53.61112423086237, -113.38546661139279 53.61107377311558, -113.3859359884151 53.61094003064975, -113.38662666732799 53.610733352164075, -113.38686737014515 53.61065501755885, -113.38718378811699 53.610546755153074, -113.38776608814162 53.610340978926835))"
SB 79 St Btwn 95 - 94 Ave,Designated Zone - Playground;,4195,30,"MULTILINESTRING ((-113.44861955817971 53.53326053106516, -113.44829475800874 53.53283711833243, -113.44818263900198 53.53269095694504, -113.4481432885079 53.532631509673266, -113.44811470344864 53.53256991857827, -113.44809717947436 53.53250687426217, -113.44809094419783 53.53244307959077, -113.44807364080084 53.53048232375088))"
SB 90 St Btwn 135 - 132 Ave,Designated Zone - Playground;,4173,30,"MULTILINESTRING ((-113.48042294516708 53.59573012869136, -113.48005116242125 53.59535512109301, -113.47987638797045 53.595020636315525, -113.47974393139486 53.59460030654925, -113.47974031494786 53.594386023754105, -113.47972718003783 53.59363611764965, -113.47971847356415 53.59266616763693, -113.47971731579958 53.59212892713766))"
SB 95 St between 114 - 112 Ave,Higher Frequency of Speeding;,2724,50,"MULTILINESTRING ((-113.48716290495751 53.56425889464792, -113.48715055828137 53.562723803711016, -113.48713739743258 53.56105354614651))"
EB 95 Ave between 170 - 165 St,Higher Frequency of Speeding; Higher Frequency of Collisions;,2753,50,"MULTILINESTRING ((-113.61459754296156 53.53161648143053, -113.61241391502813 53.53160098058134, -113.61060130793557 53.531593588482245, -113.60927779739075 53.531576925495884, -113.60881666583519 53.53157340054278, -113.60835553586513 53.53156987471509, -113.60733906353872 53.53156876894142, -113.60725658092433 53.53161769995386))"
82 Ave EB between 98 - 97 St,Higher Frequency of Speeding; Higher Frequency of Collisions;,2504,50,"MULTILINESTRING ((-113.48279801090835 53.51798896855022, -113.47972426027935 53.51798343522069))"
113A St NB between 130 - 132 Ave,Higher Frequency of Collisions;,2617,50,"MULTILINESTRING ((-113.51654934302154 53.5896003810762, -113.5165500286725 53.59011552493414, -113.5165495343753 53.59119743903908, -113.5165489846951 53.5915560239875, -113.51653823839484 53.591790622984014))"
SB 142 St Btwn 85 - N of 80 Ave,Designated Zone - Playground;,4134,30,"MULTILINESTRING ((-113.56569341809345 53.51732539996061, -113.5657003724988 53.51540872484998))"
WB 95 Ave between 165 - 167 St,Higher Frequency of Speeding;,2752,50,"MULTILINESTRING ((-113.60725658092433 53.53161769995386, -113.60733803855572 53.531679572702075, -113.60850500590274 53.53169438427463, -113.6106018640872 53.53170806099368))"
EB 76 Ave Btwn 156 - 154 St,Designated Zone - Playground;,4214,30,"MULTILINESTRING ((-113.59036347096958 53.507893586440446, -113.58907597149177 53.50788641101258, -113.58722576829672 53.50789253487075, -113.5854218009693 53.508176228767375))"
NB 159 St between Whitemud Dr - 87 Ave,Higher Frequency of Speeding;,2795,60,"MULTILINESTRING ((-113.59670994312167 53.51277666507761, -113.59670793053871 53.51517175667679, -113.59669712327273 53.5168456082641, -113.59669559432508 53.51815691587181, -113.59666806178349 53.51816034012308, -113.59664298520607 53.51817314865879, -113.5966329813739 53.51819519803528, -113.59663417750637 53.518384213852556, -113.59663045959066 53.51853309054263, -113.59661078118091 53.51892886784866, -113.59659567616366 53.519232676155305))"
WB 82 Ave between 91 - 95A St,Higher Frequency of Speeding; Higher Frequency of Collisions;,7262,50,"MULTILINESTRING ((-113.4674350913052 53.51802627426598, -113.46747302049275 53.518029528122355, -113.4686311376075 53.51802784234422, -113.47015182275564 53.51802981853766, -113.47032128282989 53.51807735890581, -113.47164580923302 53.51807366633673, -113.47530911359605 53.518079501483555, -113.47562841029921 53.51808031368095, -113.47563726369765 53.51803917659683))"
NB Saddleback Rd Btwn 25 - 27 Ave,Designated Zone - Playground;,4204,30,"MULTILINESTRING ((-113.52712488346977 53.45667837244553, -113.52949212333517 53.45816334670571, -113.52964973435877 53.45827443727801, -113.52978483659966 53.458395632024285, -113.52989560935843 53.45852531983374, -113.5299805734794 53.45866176872069, -113.53003859703708 53.45880315729354, -113.53006890112468 53.45894759723934, -113.53007108217737 53.45909315856994, -113.53004511317883 53.459237898381005, -113.52995119042943 53.45957561028719))"
NB Millwoods Rd E Btwn 17 -18 Ave,Designated Zone - Playground;,4144,30,"MULTILINESTRING ((-113.40201678420047 53.44589615956338, -113.40206332516743 53.44614324517396, -113.40215324616206 53.44638602239572, -113.40228554272251 53.44662178754917, -113.40245874262985 53.446847910957224, -113.40267091441268 53.44706187204154, -113.40291969104813 53.44726128461214, -113.40320230263826 53.4474439266964, -113.40351559865994 53.44760776312777, -113.40774569709997 53.44959567594021))"
NB 103 St W of 161 - S of 164 Ave,Designated Zone - Playground;,4224,30,"MULTILINESTRING ((-113.50008447721726 53.62251953328015, -113.50027911000889 53.62262030324675, -113.50043674477112 53.62272228614036, -113.50071933864083 53.62298101429957, -113.50089331132327 53.62325384605025, -113.5009487975153 53.62354712071907, -113.50107590839832 53.624617311843046, -113.50111405328417 53.62493844850806))"
NB 23 St N of 139 - 142 Ave,Designated Zone - Playground;,4256,30,"MULTILINESTRING ((-113.37769963056685 53.60361048264177, -113.3776878258073 53.6036491786629, -113.37766298307714 53.60377849333547, -113.37765455985422 53.60388858971988, -113.37766155474272 53.60403701148613, -113.37769277542161 53.60419656884143, -113.37780990958306 53.604679172917514, -113.37782974732893 53.60480467710177, -113.37785060736037 53.60504834943658, -113.37783999997113 53.605317148289046, -113.37781144831764 53.605505616299986))"
Whitemud Dr WB east of 17 St,Higher Frequency of Speeding; Higher Frequency of Collisions;,7016,80,"MULTILINESTRING ((-113.3572625845609 53.483035039347186, -113.35769956028061 53.4830213374536, -113.35820488744451 53.48300081479206, -113.35871990822716 53.482974823604465, -113.35889815158657 53.48296463163042, -113.35914309370571 53.482949617431416, -113.35951500893728 53.48292458701796, -113.35988148332522 53.48289727707046, -113.36038146669428 53.48285575995766, -113.36096667038635 53.482800885613244, -113.36156266537807 53.48273797581002, -113.36211457070019 53.48268458400479, -113.36342518999446 53.48252696792298, -113.36374064460404 53.482490716227694, -113.36439031288792 53.48241608603399, -113.36481539542484 53.482368363141504, -113.3653016900182 53.482318067589105, -113.36577217362435 53.48227548794295, -113.36634625582504 53.4822316630208, -113.367004673879 53.482192378839386, -113.36764517731785 53.482165326159425, -113.36822463280606 53.482145933354815))"
SB 106 St btwn 40 - 36A Ave,Designated Zone - Playground;,4056,30,"MULTILINESTRING ((-113.50623092475885 53.474953967980476, -113.50610716695753 53.474894788071005, -113.50582639507239 53.47475709601896, -113.50560178111489 53.474643405698146, -113.50535904459498 53.4745164555207, -113.50513356354764 53.47439361735369, -113.50499407074085 53.47430736516163, -113.50482145550873 53.474180485045444, -113.50468884427593 53.47406267841731, -113.50458559796458 53.473957211791294, -113.50449426681895 53.47383268101711, -113.50446333313278 53.47378583305717, -113.50442922486324 53.473728608240926, -113.50438979731345 53.47365233865299, -113.50434762224899 53.47355102414297, -113.50433124443043 53.473501998973944, -113.50432375861887 53.47347357001162, -113.50429434371111 53.473340891156255, -113.50427589891814 53.47320261272025, -113.50426895728577 53.47310487791584, -113.50426702324714 53.47302656669831, -113.5042619431124 53.47121197227473))"
NB Mill Woods Rd btwn 28 Ave - S of Lakewood Rd N,Designated Zone - Playground;,4069,30,"MULTILINESTRING ((-113.44805704684005 53.4584919465783, -113.44805552254046 53.4587926963748, -113.44804778968164 53.45926450942479, -113.44805251050752 53.459447444465, -113.44807238939815 53.459630015486326, -113.44810737963128 53.45981177655167, -113.44815739232394 53.45999228152358, -113.44826952047721 53.46028023321077, -113.44841977039452 53.460561930266635, -113.44860725674687 53.460835563142865, -113.44883078318995 53.46109937923716, -113.44889039096684 53.461163113500234))"
NB Bulyea Rd Btwn Burley Dr - Burton Rd,Designated Zone - Playground;,4164,30,"MULTILINESTRING ((-113.57175611679392 53.471454933843006, -113.57196555351827 53.47234474728302, -113.57199331303806 53.47252693543184, -113.57196237848301 53.47270894121185, -113.57187676862556 53.4728845192664, -113.57173931322473 53.473047952786146, -113.57155648555681 53.47322568569879, -113.57140294803733 53.473413024369954, -113.57129493551174 53.4735864117125, -113.57121981621026 53.473765875651594, -113.5711765092874 53.47394900409828, -113.5711645350284 53.47406434608669, -113.5711696484576 53.47420255697688, -113.5711837333409 53.474302772732955, -113.57120655961405 53.47439932387264, -113.57123977911793 53.474499136502665, -113.57128918963208 53.47461100093441))"
WB 130 Ave W of 75 - 78 St,Designated Zone - Playground;,4229,30,"MULTILINESTRING ((-113.45835357284568 53.58914939626956, -113.45841574818921 53.58914943059215, -113.45947277909936 53.58914999498146, -113.46021359894968 53.58915038558442))"
WB Silver Berry Rd btwn 24 - 32 St,Designated Zone - Playground;,4297,30,"MULTILINESTRING ((-113.37810068808199 53.457146791547814, -113.37823333425227 53.45712028697241, -113.37842526354939 53.457093068039946, -113.37860715480737 53.45707821731133, -113.37878924287004 53.45707359990736, -113.38232035975864 53.457082250961676, -113.38297954511418 53.457083847062435, -113.38461297996581 53.457087751966846, -113.38494894080313 53.45710604428431, -113.38524630140972 53.45715245883383, -113.3854970792152 53.457216481443666, -113.38570500553318 53.45729016353607))"
WB 132 Ave btwn 135 - 137 St,Designated Zone - Playground;,4017,30,"MULTILINESTRING ((-113.55349344780029 53.592301148727515, -113.55368442288719 53.592344137230086, -113.5540295933373 53.592430354553166, -113.55527585907065 53.592683159576744, -113.55562063263365 53.59268541182832, -113.55631470322793 53.59269657880148, -113.55649479244019 53.592696622791905))"
SB Jackson Rd btwn Jefferson Rd - Jamha Rd,Designated Zone - Playground;,4022,30,"MULTILINESTRING ((-113.4055620619627 53.48453181105715, -113.40585301148909 53.48455323665777, -113.40614562276608 53.48456389632448, -113.40643878510929 53.48456358234156, -113.40673133521729 53.484552294322704, -113.40702211668341 53.48453007775645, -113.4073099875576 53.48449702224622, -113.40759380384225 53.484453256935055, -113.40787263781162 53.48439928497267, -113.4081969293028 53.48432060272019, -113.40851068250119 53.48422795959036, -113.40881192537239 53.484121550795486, -113.40909895297976 53.48400197726073, -113.40962404461462 53.483726067505515, -113.40985910668768 53.48357130722251, -113.41007447503826 53.483406666961514))"
NB Allard Blvd SW btn  Allard Blvd - Alexander Way SW,Designated Zone - Playground;,4025,30,"MULTILINESTRING ((-113.5369839371027 53.399445412102104, -113.53688260581556 53.39948226250125, -113.53673707099381 53.399541542553024, -113.53660558411082 53.3996022985623, -113.53643249290373 53.39969447226591, -113.53539919124556 53.40029138413184, -113.53435044463284 53.40089719146382))"
23 Ave EB between Magrath Rd - 119 St,Higher Frequency of Collisions;,7097,60,"MULTILINESTRING ((-113.55759341123692 53.45397083774797, -113.55752891556375 53.453970896360474, -113.55430655958585 53.453969104490575, -113.55316784245913 53.4539703706406, -113.55283610425954 53.45397921467838, -113.55252329035538 53.453999043217756, -113.55225459035653 53.454027139048215, -113.5520075164448 53.45406238025432, -113.55177534338793 53.45410406418742, -113.55157226883443 53.454147674776706, -113.55117403330632 53.45425413069122, -113.55080206001934 53.45438120023707, -113.55049137078065 53.454504551597886, -113.55013882601267 53.45465145805024, -113.54971913019301 53.454818959121, -113.54930480231843 53.45496645339028, -113.54879883933292 53.4551284138419, -113.54792377936488 53.455402727045325, -113.54633536154284 53.455900638454494, -113.54603850805395 53.45599282197168, -113.54567665172212 53.45609548074412, -113.5453072377833 53.456177930423394, -113.5449574135215 53.45623158924236, -113.5446757227267 53.45625866604638, -113.54429440574037 53.45627344036834, -113.54393942909307 53.4562649671681, -113.54353373019173 53.456228675803736, -113.54319515706656 53.456175604716606, -113.5428580465534 53.45610039645398, -113.54251928582495 53.45600233639309, -113.54215712575738 53.45588188394214, -113.53914330682532 53.45484861791729, -113.53717473758519 53.454173635850935, -113.53686779176988 53.45406606147187, -113.53663758528143 53.45399942100583, -113.5364123209889 53.45394559372189, -113.53607841322648 53.45388464505793, -113.53583238432435 53.453853118703236, -113.53564724039565 53.45383651002176, -113.53561032074616 53.453834501908254))"
WB Millwoods Rd S E of 74 - 80 St,Designated Zone - Playground;,4163,30,"MULTILINESTRING ((-113.44777492043458 53.445259961767995, -113.44838786766391 53.44533275534537, -113.44899155259183 53.44542927239273, -113.44932629280865 53.445495573789955, -113.4496575906623 53.44556777668526, -113.4499839429248 53.445647951790356, -113.45029905566228 53.445742809818256, -113.45059295158772 53.445863046150926, -113.45085716426169 53.44600574016025, -113.45108691946658 53.446168306349875, -113.45127806897848 53.44634780535753))"
SB 105 St Btwn 20-19 Ave,Designated Zone - Playground;,4185,30,"MULTILINESTRING ((-113.50025638364357 53.4501966706344, -113.50021468648688 53.450099364028084, -113.50018663049339 53.4500074863929, -113.50016902684166 53.449914660407, -113.50016195900065 53.449821335731826, -113.5001654674281 53.44972790703056, -113.50017953762173 53.44963483433264, -113.5002041058392 53.449542540615504, -113.500239060183 53.44945144775384, -113.5002842575817 53.44936194064616, -113.50033948355765 53.44927446050264, -113.50040448347279 53.44918940792572, -113.50047895919224 53.449107170753436, -113.50056257358 53.44902812587591, -113.50065494303679 53.44895263381274, -113.5007556450165 53.44888103964358, -113.50086421805818 53.44881367031272, -113.50162807928065 53.448367289169084))"
EB Allan Dr SW Btwn Anderson Way SW - Allan Cres Sw,Designated Zone - Playground;,4252,30,"MULTILINESTRING ((-113.6057908716657 53.42712942362466, -113.60573843991716 53.42722359163326, -113.60567417625893 53.427315803813094, -113.60561969936326 53.42738201001332, -113.60557244814775 53.42743315320747, -113.60553307790632 53.427472241434366, -113.60550312870794 53.42750015683616, -113.60545686243695 53.42754060433138, -113.60541867665519 53.427571830858845, -113.60529100741569 53.42766462953184, -113.6051348008958 53.42775918937303, -113.60493966583225 53.42785540760854, -113.6048673282731 53.42788604473543, -113.60476392594717 53.42792575838166, -113.60466737176814 53.42795887091561, -113.60458233249362 53.42798510844883, -113.60442857610472 53.42802613961488, -113.60427209125966 53.428060083156964, -113.60422552650589 53.42806865263064, -113.60416581077517 53.4280787897224, -113.60407003141265 53.42809303613136, -113.60399679392201 53.428102376177534, -113.60393979067905 53.42810848287648, -113.6038508349261 53.42811636168674, -113.6037669359922 53.42812181477095, -113.60371562786395 53.42812432243236, -113.60365598752989 53.42812633244933, -113.60360485222009 53.428127243798485, -113.6035386193049 53.428127587414195, -113.60241137483739 53.42812808840343, -113.60233569032896 53.42812906217069, -113.60220891343346 53.42813085782169, -113.60210507462334 53.4281351344423, -113.60194176261368 53.42814703074189, -113.60178006521296 53.428165173978385, -113.60168212807496 53.42817933669515))"
132 Ave WB between 119 - 121 St,Higher Frequency of Collisions;,2468,50,"MULTILINESTRING ((-113.52679564438066 53.59215413791931, -113.52886333744553 53.592159050338644, -113.52966689254066 53.59216108825303, -113.53040761187393 53.592157431419544))"
WB 132 Ave E of 69 - 72 St,Designated Zone - Playground;,4120,30,"MULTILINESTRING ((-113.44758028358378 53.59226772761369, -113.45086803563896 53.59226223085315, -113.45158740766514 53.59226101636032, -113.4519074227679 53.59226047424869, -113.45235688387677 53.592246985547554))"
142 St NB between Valleyview Dr - 95 Ave,Higher Frequency of Speeding;,2644,60,"MULTILINESTRING ((-113.56563336777565 53.52799788029643, -113.5656425217265 53.528130420322874, -113.56562866708123 53.528530115237345, -113.56559748944098 53.529637263082556, -113.56559570446504 53.52979386110726, -113.56557233950251 53.530570397080396, -113.5655762726366 53.531497833427565, -113.56556938216185 53.53197848494233))"
WB 89 Ave btwn 68A - 71 St,Designated Zone - Playground;,4286,30,"MULTILINESTRING ((-113.43228638374254 53.524262790608965, -113.43683043584905 53.524263826088216))"
WB 95 Ave btwn 79 St - E of Holyrood Rd,Designated Zone - Playground;,4307,30,"MULTILINESTRING ((-113.44861955817971 53.53326053106516, -113.45068459940688 53.5327029013389, -113.45080412575915 53.532660642616506, -113.45261111258083 53.53202092341714))"
SB Lakewood Rd E btwn 71 St - 29 Ave,Designated Zone - Playground;,4276,30,"MULTILINESTRING ((-113.44259760823049 53.46276733038868, -113.44223946319288 53.46268389684362, -113.44189991107729 53.462576281951506, -113.44158930738587 53.462440720538744, -113.44131433523624 53.462280072918006, -113.44108041990474 53.46209744516459, -113.44089266126768 53.46189673531324, -113.44075491518142 53.46168206830097, -113.44067002167961 53.46145785182587, -113.44064077054685 53.46126403624201, -113.44065106959795 53.46106953323681, -113.44070076771918 53.460877206881065, -113.44078913152735 53.460689888827694, -113.44121465055669 53.45996507988863))"
SB 109 St btwn 164 Ave - Beaumaris Rd,Designated Zone - Playground;,4050,30,"MULTILINESTRING ((-113.50765945618407 53.62540149024454, -113.50769923295492 53.62502019409237, -113.50778729918778 53.62468133732596, -113.50794403752346 53.62442296989828, -113.50810558895796 53.62416245643837, -113.50913234875769 53.62309041478499, -113.50944317825355 53.62260174975217, -113.50970420000648 53.62164910113119))"
118 Ave EB between 56 - 54 St,Higher Frequency of Speeding;,2506,50,"MULTILINESTRING ((-113.424594038329 53.570357822825855, -113.4261144827682 53.57036074747082, -113.42764965506869 53.570360888171514))"
WB McQueen Rd Btwn 142 - W of 146 St,Designated Zone - Playground;,4267,30,"MULTILINESTRING ((-113.56580512803183 53.55622124206911, -113.56690770696663 53.556222357551555, -113.56733299052647 53.556222785091286, -113.56777897893316 53.55622323202182, -113.5685050922736 53.55622395669051, -113.5697009428877 53.556218739535616, -113.5700864444753 53.55619819368696, -113.57047937260518 53.55615017351901, -113.57102055074341 53.55599483160148, -113.57144125261543 53.55581209325903, -113.57171433807117 53.55558849775872))"
WB 37A Ave btwn 23 St - E of 28 St,Designated Zone - Playground;,4087,30,"MULTILINESTRING ((-113.37650889566581 53.47296226049085, -113.3768578131192 53.472952035351405, -113.3771709245512 53.47292110895471, -113.37738540909477 53.47288818970396, -113.37760387014013 53.472844218020654, -113.37815858675982 53.47271854607668, -113.37848725857154 53.47264443328974, -113.37912479528232 53.47251677928054, -113.37981732506854 53.47240546107947, -113.38053714370311 53.47231847649137, -113.38109346501446 53.47227636704639, -113.38163240301648 53.472263149053745, -113.3816591414967 53.47226315890775))"
EB 93A Ave btwn 67A St - 58 St,Designated Zone - Playground;,4104,30,"MULTILINESTRING ((-113.43112489809629 53.53042620525566, -113.430804219973 53.530445017389006, -113.43064336493433 53.53045088601046, -113.43048222801889 53.530452355295985, -113.42861611793785 53.530443591323795, -113.42373972235818 53.53042055111903))"
SB 182 St Btwn 87 - N of 84 Ave,Designated Zone - Playground;,4187,30,"MULTILINESTRING ((-113.63715060889572 53.521099337517214, -113.63715288645824 53.51990139247759, -113.63706091187592 53.519456345976025, -113.6368879317997 53.51906843527946, -113.63683128366529 53.51862364767554, -113.63685535715747 53.518167090026985, -113.63698343572408 53.5178604524931, -113.63720074999561 53.51748030785185))"
WB 144 Ave Btwn 74-76 St,Designated Zone - Playground;,4174,30,"MULTILINESTRING ((-113.45408190013059 53.606599794929835, -113.45502960915226 53.60680575948298, -113.45523764999069 53.6068478936743, -113.45538582590041 53.60687424357402, -113.45554130723039 53.60689872150733, -113.45580904071964 53.60693349629659, -113.45608925590832 53.60696019853851, -113.45627750668018 53.606972704213604, -113.45651255078612 53.606982290504604, -113.45673719267893 53.60698524961494, -113.45881529766928 53.60698464916328))"
WB Whitemud Dr between 91 - 99 St,Higher Frequency of Collisions;,7208,80,"MULTILINESTRING ((-113.46824568495431 53.48274171839872, -113.46858796429328 53.48268373473566, -113.46953884258937 53.48252264315539, -113.4703265516497 53.482389188358304, -113.47336457161178 53.48187548112916, -113.47466303702511 53.48167829103044, -113.4754786693517 53.481545718528736, -113.47721074437189 53.481261829584746, -113.47905839616877 53.48101485359293, -113.47939757414854 53.48098093792635, -113.47971295009461 53.48094994690037, -113.48065078717524 53.4808511367645, -113.48191150892131 53.48073672486759, -113.48326595190585 53.48064494196312, -113.4846233262043 53.480578293204616, -113.48519796113892 53.48055963716657))"
EB 144 Ave btwn 72 - 69 St,Designated Zone - Playground;,4309,30,"MULTILINESTRING ((-113.45108554474817 53.60581248465129, -113.44989621234924 53.605554011125065, -113.44768110321094 53.6050725500335, -113.44740041007967 53.605015064284885, -113.44715539237383 53.6049705153001, -113.44689490264732 53.60492872936977, -113.446797218137 53.6049145087028))"
156 St NB between 92 - 94 Ave,Higher Frequency of Speeding; Higher Frequency of Collisions;,2569,50,"MULTILINESTRING ((-113.59032914608503 53.52669967947543, -113.59034217693622 53.5276179127993, -113.59030752287734 53.529165441917876, -113.59032984469032 53.53005939508135))"
EB Millwoods Rd S Btwn 80-74 St,Designated Zone - Playground;,4162,30,"MULTILINESTRING ((-113.45127806897848 53.44634780535753, -113.45108691946658 53.446168306349875, -113.45085716426169 53.44600574016025, -113.45059295158772 53.445863046150926, -113.45029905566228 53.445742809818256, -113.4499839429248 53.445647951790356, -113.4496575906623 53.44556777668526, -113.44932629280865 53.445495573789955, -113.44899155259183 53.44542927239273, -113.44838786766391 53.44533275534537, -113.44777492043458 53.445259961767995))"
EB 129B Ave btwn 93 - 91 St,Designated Zone - Playground;,4009,30,"MULTILINESTRING ((-113.48473928532518 53.58906801208779, -113.48433505014627 53.58900066696814, -113.48397233599718 53.58890166593373, -113.48380794638489 53.588842533827126, -113.48327441862786 53.58865061669218, -113.48214034204325 53.58824265804672))"
SB 163 St between 99 - 96A Ave,Higher Frequency of Collisions;,2757,50,"MULTILINESTRING ((-113.60276453121898 53.53750426556528, -113.60274782003263 53.5346532414363, -113.60275561275657 53.53391909966744))"
EB Hermitage Rd Btwn 40 St - 127 Ave,Designated Zone - Playground;,4207,30,"MULTILINESTRING ((-113.40793572869727 53.58715437190756, -113.40703763597882 53.586366029413526, -113.40683323502141 53.58618678372435, -113.4065609100506 53.58596984875474, -113.40633564069726 53.58580020355568, -113.40627953730025 53.58575776741514))"
Yellowhead Tr WB at 7710 Yellowhead Tr,Higher Frequency of Speeding; Higher Frequency of Collisions;,7075,70,"MULTILINESTRING ((-113.45663551520377 53.58249002714783, -113.45679664775166 53.58251036889399, -113.45694638341315 53.58252239519762, -113.4571037176423 53.582530306970824, -113.45726069100961 53.58253539081288, -113.4574344860969 53.58253826290499, -113.45758651966409 53.58253984455145, -113.45775752132613 53.58253609792476, -113.46257538449876 53.582435963608795))"
WB 132 Ave E of 109 - 113A St,Designated Zone - Playground;,4146,30,"MULTILINESTRING ((-113.50765835316349 53.59210011714285, -113.50841350782207 53.592103839209166, -113.51359418421988 53.59212885644483, -113.51433118747147 53.592124043066725, -113.51508172110306 53.592135549009114, -113.51580910990124 53.59213198423481, -113.51646672127059 53.59214244318722))"
EB 43 Ave btwn 114 - 111 St,Designated Zone - Playground;,4028,30,"MULTILINESTRING ((-113.52454278435113 53.47929813379891, -113.52377999588607 53.47912795896945, -113.5209144297141 53.478668871859576, -113.51999296490719 53.47852122882881, -113.5196878883679 53.478476263293885, -113.51750023002501 53.47812763371081))"
144 Ave WB between 77 - 79 St,Higher Frequency of Speeding;,2530,50,"MULTILINESTRING ((-113.46031242547464 53.606984177058884, -113.46106812932156 53.60698393333736, -113.46331456688768 53.606983178778336))"
NB 97 St between 115 -117 Ave,Higher Frequency of Collisions;,2718,50,"MULTILINESTRING ((-113.49168786996735 53.56576798039941, -113.49170404518196 53.56731108714972, -113.49171962680843 53.568855043745124))"
EB 132 Ave btwn 113A St - E of 109 St,Designated Zone – Playground;,4315,30,"MULTILINESTRING ((-113.51646672127059 53.59214244318722, -113.51580910990124 53.59213198423481, -113.51508172110306 53.592135549009114, -113.51433118747147 53.592124043066725, -113.51359418421988 53.59212885644483, -113.50841350782207 53.592103839209166, -113.50765835316349 53.59210011714285))"
50 St SB between Fulton Rd - 101A Ave,Higher Frequency of Speeding;,2620,50,"MULTILINESTRING ((-113.41869388707653 53.54744067282092, -113.41870427181985 53.544702831239164, -113.41871121190508 53.54259527003744))"
WB 149 A Ave Btwn 76-79 St,Designated Zone - Playground;,4161,30,"MULTILINESTRING ((-113.4597340773178 53.61098495759149, -113.46096893548119 53.6107577235999, -113.4624252507675 53.61054492912476, -113.46330046346642 53.610523050420475))"
WB 111 Ave between 113 - 116 St,Higher Frequency of Collisions;,2726,60,"MULTILINESTRING ((-113.51580010399454 53.55894152497325, -113.52131825907094 53.55894054752705))"
170 St NB between 114 - 117 Ave,Higher Frequency of Collisions;,7115,60,"MULTILINESTRING ((-113.61518719239281 53.56301997177187, -113.61518280641275 53.567441417265314))"
EB 172 Ave  W of 107 - E of 104 St,Designated Zone - Playground;,4001,30,"MULTILINESTRING ((-113.50817811281894 53.633754694749214, -113.50744966277541 53.63363467322862, -113.50621386312308 53.63343038883916, -113.50550952036097 53.6333091995929, -113.50485696151533 53.63325566385535, -113.50441563579471 53.633238771064306, -113.50351161378815 53.63326395611557, -113.50292095849926 53.63334546362532, -113.5023898552049 53.63343492475911, -113.50220414808528 53.633484959714814))"
SB St Albert Tr between 134 - 132 Ave,Higher Frequency of Speeding;,7221,60,"MULTILINESTRING ((-113.57047719023345 53.59490020748415, -113.56846836530958 53.5932074133895, -113.56790085605878 53.592712289712985, -113.56715143940458 53.59202291562758))"
SB Ottewell Rd btwn 94B - 94 Ave,Designated Zone - Playground;,4106,30,"MULTILINESTRING ((-113.43586288717715 53.532701555351885, -113.43558690905162 53.53228648036266, -113.43456284964958 53.53074620419053))"
Ellierslie Rd SW WB between Calgary Tr-109 St SW,Higher Frequency of Collisions;,2571,60,"MULTILINESTRING ((-113.49499502173998 53.424874084345504, -113.49605086228765 53.424874502685434, -113.49641896775016 53.42487581438488, -113.49677628465581 53.42488248289243, -113.49826665211312 53.424938461539334, -113.49859105577502 53.42494072690297, -113.49918700975755 53.424940143106326, -113.50433740744239 53.42493770144508, -113.50565124642603 53.42492725878487, -113.50658688424545 53.424908966688136, -113.50745861504024 53.42490274717348, -113.50890871620129 53.42490035373716))"
WB 106 Ave between Rowland Rd - 76 St,Higher Frequency of Speeding;,7177,50,"MULTILINESTRING ((-113.4402522245169 53.54939601798633, -113.44283213962585 53.549387414453214, -113.44299103409801 53.549339577005995, -113.44377737515471 53.54934094151472, -113.44456633716536 53.549342304937575))"
SB Riverbend Rd btwn 56 - 53  Ave,Designated Zone - Playground;,4030,30,"MULTILINESTRING ((-113.57827239597353 53.49371509608028, -113.57825283451622 53.49203978529407, -113.57824304921031 53.49164429322027, -113.57822778077396 53.49137485707672, -113.57822390811944 53.49131868054361, -113.57826764095232 53.491309644811, -113.57829280341669 53.49128804753267, -113.57829601118584 53.49125601995526, -113.57828698638188 53.491135015990466, -113.57826964903347 53.49099620018089, -113.57824104820544 53.4908329645441, -113.57820062726068 53.49056186614675, -113.57819567780417 53.490540117691545))"
SB Allard Blvd SW btn  Alexander Way - Allard Blvd SW,Designated Zone - Playground;,4026,30,"MULTILINESTRING ((-113.53435044463284 53.40089719146382, -113.53539919124556 53.40029138413184, -113.53643249290373 53.39969447226591, -113.53660558411082 53.3996022985623, -113.53673707099381 53.399541542553024, -113.53688260581556 53.39948226250125, -113.5369839371027 53.399445412102104))"
50 St NB between 102 - 104A Ave,Higher Frequency of Collisions;,2619,50,"MULTILINESTRING ((-113.41843506443388 53.54259472635106, -113.41842799876477 53.54470307413382, -113.41841821342236 53.54744035611946))"
